"customer_id","name","gender","phone","address"
"1","顾客1","M","13800000001","上海市浦东新区001"
"2","顾客2","F","13800000002","上海市浦东新区002"
"3","顾客3","M","13800000003","上海市浦东新区003"
"4","顾客4","F","13800000004","上海市浦东新区004"
"5","顾客5","M","13800000005","上海市浦东新区005"
"6","顾客6","F","13800000006","上海市浦东新区006"
"7","顾客7","M","13800000007","上海市浦东新区007"
"8","顾客8","F","13800000008","上海市浦东新区008"
"9","顾客9","M","13800000009","上海市浦东新区009"
"10","顾客10","F","13800000010","上海市浦东新区010"
"11","顾客11","M","13800000011","上海市浦东新区011"
"12","顾客12","F","13800000012","上海市浦东新区012"
"13","顾客13","M","13800000013","上海市浦东新区013"
"14","顾客14","F","13800000014","上海市浦东新区014"
"15","顾客15","M","13800000015","上海市浦东新区015"
"16","顾客16","F","13800000016","上海市浦东新区016"
"17","顾客17","M","13800000017","上海市浦东新区017"
"18","顾客18","F","13800000018","上海市浦东新区018"
"19","顾客19","M","13800000019","上海市浦东新区019"
"20","顾客20","F","13800000020","上海市浦东新区020"
"21","顾客21","M","13800000021","上海市浦东新区021"
"22","顾客22","F","13800000022","上海市浦东新区022"
"23","顾客23","M","13800000023","上海市浦东新区023"
"24","顾客24","F","13800000024","上海市浦东新区024"
"25","顾客25","M","13800000025","上海市浦东新区025"
"26","顾客26","F","13800000026","上海市浦东新区026"
"27","顾客27","M","13800000027","上海市浦东新区027"
"28","顾客28","F","13800000028","上海市浦东新区028"
"29","顾客29","M","13800000029","上海市浦东新区029"
"30","顾客30","F","13800000030","上海市浦东新区030"
"31","顾客31","M","13800000031","上海市浦东新区031"
"32","顾客32","F","13800000032","上海市浦东新区032"
"33","顾客33","M","13800000033","上海市浦东新区033"
"34","顾客34","F","13800000034","上海市浦东新区034"
"35","顾客35","M","13800000035","上海市浦东新区035"
"36","顾客36","F","13800000036","上海市浦东新区036"
"37","顾客37","M","13800000037","上海市浦东新区037"
"38","顾客38","F","13800000038","上海市浦东新区038"
"39","顾客39","M","13800000039","上海市浦东新区039"
"40","顾客40","F","13800000040","上海市浦东新区040"
"41","顾客41","M","13800000041","上海市浦东新区041"
"42","顾客42","F","13800000042","上海市浦东新区042"
"43","顾客43","M","13800000043","上海市浦东新区043"
"44","顾客44","F","13800000044","上海市浦东新区044"
"45","顾客45","M","13800000045","上海市浦东新区045"
"46","顾客46","F","13800000046","上海市浦东新区046"
"47","顾客47","M","13800000047","上海市浦东新区047"
